"key";"de";"en";"de_f";"it";"es"
"TSCS_0021_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0021_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0021_PROMPT";"Andere mobben mich.";"People pick on me";"Andere mobben mich.";"People pick on me";"People pick on me"
"TSCS_0022_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0022_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0022_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0022_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0022_PROMPT";"Andere scheinen mich nicht zu bemerken.";"People do not seem to notice me";"Andere scheinen mich nicht zu bemerken.";"People do not seem to notice me";"People do not seem to notice me"
"TSCS_0023_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0023_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0023_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0023_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0023_PROMPT";"Ich bekomme viele Anrufe von Freunden.";"I get a lot of phone calls from friends";"Ich bekomme viele Anrufe von Freunden.";"I get a lot of phone calls from friends";"I get a lot of phone calls from friends"
"TSCS_0024_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0024_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0024_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0024_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0024_PROMPT";"Viele Menschen halten nicht viel von mir.";"Many people have a low opinion of me";"Viele Menschen halten nicht viel von mir.";"Many people have a low opinion of me";"Many people have a low opinion of me"
"TSCS_0025_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0025_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0025_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0025_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0025_PROMPT";"Ich lasse es zu oft zu, dass andere mich mobben.";"I let people bully me too much";"Ich lasse es zu oft zu, dass andere mich mobben.";"I let people bully me too much";"I let people bully me too much"
"TSCS_0026_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0026_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0026_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0026_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0026_PROMPT";"Andere müssen mich erst kennen lernen, bevor sie mich mögen.";"People have to get to know me before they like me";"Andere müssen mich erst kennen lernen, bevor sie mich mögen.";"People have to get to know me before they like me";"People have to get to know me before they like me"
